Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
83,3,3.000,162174,162174,439124,435751,705956,705956,705956,705956,705956
84,1,1.000,1385513,1385513,1385513,1385513,1385513,1385513,1385513,1385513,1385513
85,2,2.000,162362,162362,627035,394698,627035,627035,627035,627035,627035
86,3,3.000,159940,159940,160014,169247,187787,187787,187787,187787,187787
87,3,3.000,72845,72845,548503,464364,771746,771746,771746,771746,771746
88,2,2.000,160495,160495,442522,301508,442522,442522,442522,442522,442522
89,6,6.000,86934,89543,160561,185098,160876,452401,452401,452401,452401
90,6,6.000,87406,159381,161365,258623,161414,821594,821594,821594,821594
91,2,2.000,160314,160314,197229,178771,197229,197229,197229,197229,197229
92,2,2.000,823711,823711,983696,903703,983696,983696,983696,983696,983696
93,1,1.000,556830,556830,556830,556830,556830,556830,556830,556830,556830
94,2,2.000,160046,160046,1036827,598436,1036827,1036827,1036827,1036827,1036827
95,3,3.000,93020,93020,171789,355672,802207,802207,802207,802207,802207
96,3,3.000,161441,161441,161740,431995,972806,972806,972806,972806,972806
97,1,1.000,792221,792221,792221,792221,792221,792221,792221,792221,792221
98,1,1.000,660633,660633,660633,660633,660633,660633,660633,660633,660633
99,1,1.000,994806,994806,994806,994806,994806,994806,994806,994806,994806
100,2,2.000,88811,88811,717420,403115,717420,717420,717420,717420,717420
101,2,2.000,168844,168844,1337098,752971,1337098,1337098,1337098,1337098,1337098
102,1,1.000,798912,798912,798912,798912,798912,798912,798912,798912,798912
103,4,4.000,87471,160693,162772,280885,712604,712604,712604,712604,712604
104,1,1.000,710861,710861,710861,710861,710861,710861,710861,710861,710861
105,1,1.000,717906,717906,717906,717906,717906,717906,717906,717906,717906
106,3,3.000,160063,160063,193818,566820,1346580,1346580,1346580,1346580,1346580
107,2,2.000,72902,72902,168985,120943,168985,168985,168985,168985,168985
108,2,2.000,581045,581045,906765,743905,906765,906765,906765,906765,906765
109,1,1.000,966164,966164,966164,966164,966164,966164,966164,966164,966164
110,2,2.000,167076,167076,487763,327419,487763,487763,487763,487763,487763
111,1,1.000,1010149,1010149,1010149,1010149,1010149,1010149,1010149,1010149,1010149
112,1,1.000,902019,902019,902019,902019,902019,902019,902019,902019,902019
113,4,4.000,163951,165678,568939,430580,823755,823755,823755,823755,823755
114,3,3.000,73054,73054,154521,290817,644878,644878,644878,644878,644878
115,3,3.000,89254,89254,164756,139653,164949,164949,164949,164949,164949
116,2,2.000,162827,162827,920084,541455,920084,920084,920084,920084,920084
117,3,3.000,68836,68836,206200,343381,755107,755107,755107,755107,755107
118,4,4.000,160125,160629,184754,231128,419005,419005,419005,419005,419005
119,2,2.000,158275,158275,921685,539980,921685,921685,921685,921685,921685
120,1,1.000,914787,914787,914787,914787,914787,914787,914787,914787,914787
121,3,3.000,159236,159236,187825,316906,603658,603658,603658,603658,603658
122,3,3.000,158344,158344,495427,453118,705583,705583,705583,705583,705583
123,2,2.000,493594,493594,1341364,917479,1341364,1341364,1341364,1341364,1341364
124,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
125,1,1.000,881981,881981,881981,881981,881981,881981,881981,881981,881981
126,1,1.000,1331160,1331160,1331160,1331160,1331160,1331160,1331160,1331160,1331160
127,3,3.000,159809,159809,195781,373630,765300,765300,765300,765300,765300
128,2,2.000,165700,165700,435312,300506,435312,435312,435312,435312,435312
129,2,2.000,799530,799530,834224,816877,834224,834224,834224,834224,834224
130,1,1.000,602976,602976,602976,602976,602976,602976,602976,602976,602976
131,1,1.000,981799,981799,981799,981799,981799,981799,981799,981799,981799
132,3,3.000,158596,158596,189122,386384,811434,811434,811434,811434,811434
133,1,1.000,476780,476780,476780,476780,476780,476780,476780,476780,476780
134,2,2.000,551072,551072,844033,697552,844033,844033,844033,844033,844033
135,1,1.000,720976,720976,720976,720976,720976,720976,720976,720976,720976
136,3,3.000,87378,87378,473621,353634,499904,499904,499904,499904,499904
137,5,5.000,157988,158239,159709,164923,160295,188385,188385,188385,188385
138,7,7.000,86167,156824,157757,147928,159444,159889,159889,159889,159889
139,4,4.000,88214,161383,543569,355694,629611,629611,629611,629611,629611
140,4,4.000,85801,158240,183535,284454,710240,710240,710240,710240,710240
141,1,1.000,915395,915395,915395,915395,915395,915395,915395,915395,915395
142,3,3.000,158794,158794,158913,164879,176931,176931,176931,176931,176931
143,5,5.000,68176,157333,158085,291303,160772,912149,912149,912149,912149
144,4,4.000,70707,157651,157736,138106,166333,166333,166333,166333,166333
145,4,4.000,157775,159089,626657,466478,922391,922391,922391,922391,922391
146,1,1.000,159508,159508,159508,159508,159508,159508,159508,159508,159508
147,4,4.000,94775,159245,160138,254283,602975,602975,602975,602975,602975
