Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1714114533.259334,817897,0,1
1,NewOrder,1714114534.077262,606826,0,1
2,Payment,1714114534.684119,196696,0,1
1,NewOrder,1714114534.880846,884501,0,1
1,NewOrder,1714114535.765378,981792,0,1
1,NewOrder,1714114536.747201,164516,0,1
2,Payment,1714114536.911745,164168,0,1
1,NewOrder,1714114537.075944,1037082,0,1
1,NewOrder,1714114538.113060,457788,0,1
2,Payment,1714114538.570880,162664,0,1
2,Payment,1714114538.733576,163027,0,1
1,NewOrder,1714114538.896634,564450,0,1
2,Payment,1714114539.461115,159953,0,1
2,Payment,1714114539.621099,160175,0,1
1,NewOrder,1714114539.781305,497539,0,1
4,Delivery,1714114540.278875,328032,0,1
1,NewOrder,1714114540.606950,1003849,0,1
4,Delivery,1714114541.610855,1365555,0,1
2,Payment,1714114542.976443,161500,0,1
2,Payment,1714114543.137974,161720,0,1
2,Payment,1714114543.299725,161780,0,1
1,NewOrder,1714114543.461536,862650,0,1
4,Delivery,1714114544.324215,1343391,0,1
2,Payment,1714114545.667635,160503,0,1
2,Payment,1714114545.828166,163901,0,1
2,Payment,1714114545.992096,161313,0,1
1,NewOrder,1714114546.153437,559900,0,1
1,NewOrder,1714114546.713365,1019116,0,1
1,NewOrder,1714114547.732509,868954,0,1
1,NewOrder,1714114548.601491,653075,0,1
1,NewOrder,1714114549.254595,490415,0,1
1,NewOrder,1714114549.745037,934849,0,1
3,OrderStatus,1714114550.679915,86555,0,1
1,NewOrder,1714114550.766497,436518,0,1
1,NewOrder,1714114551.203043,439124,0,1
2,Payment,1714114551.642195,162174,0,1
1,NewOrder,1714114551.804398,705956,0,1
4,Delivery,1714114552.510382,1385513,0,1
2,Payment,1714114553.895923,162362,0,1
1,NewOrder,1714114554.058313,627035,0,1
2,Payment,1714114554.685387,160014,0,1
2,Payment,1714114554.845430,159940,0,1
2,Payment,1714114555.005421,187787,0,1
5,StockLevel,1714114555.193261,72845,0,1
1,NewOrder,1714114555.266134,548503,0,1
1,NewOrder,1714114555.814665,771746,0,1
1,NewOrder,1714114556.586439,442522,0,1
2,Payment,1714114557.029194,160495,0,1
1,NewOrder,1714114557.189718,452401,0,1
3,OrderStatus,1714114557.642147,86934,0,1
