Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1712324028.808559,5902,0,1
1,NewOrder,1712324028.814492,12029,0,1
1,NewOrder,1712324028.826553,11995,0,1
1,NewOrder,1712324028.838579,11953,0,1
2,Payment,1712324028.850564,5964,0,1
5,StockLevel,1712324028.856559,2482,0,1
1,NewOrder,1712324028.859073,9475,0,1
1,NewOrder,1712324028.868579,11980,0,1
2,Payment,1712324028.880591,5949,0,1
2,Payment,1712324028.886571,5936,0,1
2,Payment,1712324028.892538,5968,0,1
1,NewOrder,1712324028.898537,12046,0,1
5,StockLevel,1712324028.910614,1926,0,1
2,Payment,1712324028.912571,3983,0,1
2,Payment,1712324028.916585,5953,0,1
1,NewOrder,1712324028.922569,3980,0,1
2,Payment,1712324028.926575,7966,0,1
1,NewOrder,1712324028.934572,11944,0,1
1,NewOrder,1712324028.946547,11931,0,1
1,NewOrder,1712324028.958509,12041,0,1
2,Payment,1712324028.970582,5945,0,1
4,Delivery,1712324028.976559,17947,0,1
1,NewOrder,1712324028.994530,12036,0,1
2,Payment,1712324029.006597,6007,0,1
4,Delivery,1712324029.012636,18035,0,1
2,Payment,1712324029.030703,5962,0,1
1,NewOrder,1712324029.036686,6004,0,1
1,NewOrder,1712324029.042722,5946,0,1
2,Payment,1712324029.048699,6092,0,1
1,NewOrder,1712324029.054818,5878,0,1
1,NewOrder,1712324029.060724,12054,0,1
1,NewOrder,1712324029.072809,5938,0,1
2,Payment,1712324029.078778,5971,0,1
1,NewOrder,1712324029.084780,4021,0,1
1,NewOrder,1712324029.088830,7890,0,1
2,Payment,1712324029.096752,5983,0,1
2,Payment,1712324029.102766,5951,0,1
2,Payment,1712324029.108746,5992,0,1
2,Payment,1712324029.114768,5962,0,1
1,NewOrder,1712324029.120759,12040,0,1
4,Delivery,1712324029.132830,11917,0,1
2,Payment,1712324029.144778,6038,0,1
1,NewOrder,1712324029.150847,11926,0,1
2,Payment,1712324029.162792,5994,0,1
2,Payment,1712324029.168811,5960,0,1
2,Payment,1712324029.174803,6046,0,1
1,NewOrder,1712324029.180878,11930,0,1
2,Payment,1712324029.192839,5915,0,1
5,StockLevel,1712324029.198785,2503,0,1
2,Payment,1712324029.201320,9482,0,1
1,NewOrder,1712324029.210833,5957,0,1
2,Payment,1712324029.216821,6020,0,1
2,Payment,1712324029.222872,5908,0,1
2,Payment,1712324029.228883,5863,0,1
2,Payment,1712324029.234781,5984,0,1
1,NewOrder,1712324029.240796,5929,0,1
2,Payment,1712324029.246756,5977,0,1
1,NewOrder,1712324029.252763,12053,0,1
1,NewOrder,1712324029.264845,5874,0,1
1,NewOrder,1712324029.270749,12076,0,1
1,NewOrder,1712324029.282857,5910,0,1
1,NewOrder,1712324029.288798,12076,0,1
1,NewOrder,1712324029.300905,11965,0,1
2,Payment,1712324029.312901,5900,0,1
2,Payment,1712324029.318827,5953,0,1
1,NewOrder,1712324029.324810,5950,0,1
1,NewOrder,1712324029.330790,12102,0,1
2,Payment,1712324029.342923,5917,0,1
1,NewOrder,1712324029.348870,12007,0,1
2,Payment,1712324029.360908,5896,0,1
2,Payment,1712324029.366832,6014,0,1
1,NewOrder,1712324029.372876,11988,0,1
2,Payment,1712324029.384895,5978,0,1
2,Payment,1712324029.390903,5910,0,1
1,NewOrder,1712324029.396844,12065,0,1
1,NewOrder,1712324029.408940,11959,0,1
3,OrderStatus,1712324029.420930,1596,0,1
1,NewOrder,1712324029.422557,10361,0,1
2,Payment,1712324029.432949,5893,0,1
2,Payment,1712324029.438880,5963,0,1
1,NewOrder,1712324029.444876,11977,0,1
5,StockLevel,1712324029.456885,2296,0,1
