Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.200,637.215,637.215,637.215,637.215,637.215,637.215,637.215,637.215,637.215,0.002
5,0.400,597.249,593.116,593.116,601.382,601.382,601.382,601.382,601.382,601.382,0.002
10,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
15,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
20,0.600,667.563,595.725,595.725,613.177,793.787,793.787,793.787,793.787,793.787,0.001
25,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,0.400,729.886,727.526,727.526,732.246,732.246,732.246,732.246,732.246,732.246,0.001
35,0.200,755.391,755.391,755.391,755.391,755.391,755.391,755.391,755.391,755.391,0.001
40,0.400,698.520,651.628,651.628,745.412,745.412,745.412,745.412,745.412,745.412,0.001
45,0.200,711.936,711.936,711.936,711.936,711.936,711.936,711.936,711.936,711.936,0.001
50,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
55,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
60,0.400,747.672,713.578,713.578,781.766,781.766,781.766,781.766,781.766,781.766,0.001
65,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
70,0.200,624.819,624.819,624.819,624.819,624.819,624.819,624.819,624.819,624.819,0.002
75,0.400,609.383,604.790,604.790,613.976,613.976,613.976,613.976,613.976,613.976,0.002
80,0.400,645.019,619.864,619.864,670.174,670.174,670.174,670.174,670.174,670.174,0.002
85,0.600,699.214,643.198,643.198,698.634,755.810,755.810,755.810,755.810,755.810,0.001
90,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
95,0.200,601.596,601.596,601.596,601.596,601.596,601.596,601.596,601.596,601.596,0.002
100,0.600,633.988,608.123,608.123,646.325,647.516,647.516,647.516,647.516,647.516,0.002
105,0.200,627.998,627.998,627.998,627.998,627.998,627.998,627.998,627.998,627.998,0.002
110,0.400,668.102,616.293,616.293,719.911,719.911,719.911,719.911,719.911,719.911,0.001
115,0.200,638.772,638.772,638.772,638.772,638.772,638.772,638.772,638.772,638.772,0.002
120,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
125,0.400,697.148,666.854,666.854,727.441,727.441,727.441,727.441,727.441,727.441,0.001
130,0.600,852.405,680.315,680.315,730.445,1146.456,1146.456,1146.456,1146.456,1146.456,0.001
135,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
140,0.200,636.489,636.489,636.489,636.489,636.489,636.489,636.489,636.489,636.489,0.002
145,0.400,676.506,671.148,671.148,681.864,681.864,681.864,681.864,681.864,681.864,0.001
150,0.200,618.588,618.588,618.588,618.588,618.588,618.588,618.588,618.588,618.588,0.002
155,0.200,645.876,645.876,645.876,645.876,645.876,645.876,645.876,645.876,645.876,0.002
160,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
165,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
170,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
175,0.400,736.918,716.176,716.176,757.659,757.659,757.659,757.659,757.659,757.659,0.001
180,0.200,748.437,748.437,748.437,748.437,748.437,748.437,748.437,748.437,748.437,0.001
185,0.200,655.528,655.528,655.528,655.528,655.528,655.528,655.528,655.528,655.528,0.002
190,0.200,748.359,748.359,748.359,748.359,748.359,748.359,748.359,748.359,748.359,0.001
195,0.200,633.008,633.008,633.008,633.008,633.008,633.008,633.008,633.008,633.008,0.002
200,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
205,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
210,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
215,0.200,658.547,658.547,658.547,658.547,658.547,658.547,658.547,658.547,658.547,0.002
220,0.200,627.264,627.264,627.264,627.264,627.264,627.264,627.264,627.264,627.264,0.002
225,0.200,751.506,751.506,751.506,751.506,751.506,751.506,751.506,751.506,751.506,0.001
230,0.400,690.877,633.728,633.728,748.026,748.026,748.026,748.026,748.026,748.026,0.001
235,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
240,0.200,725.116,725.116,725.116,725.116,725.116,725.116,725.116,725.116,725.116,0.001
245,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
250,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
255,0.400,637.794,637.239,637.239,638.349,638.349,638.349,638.349,638.349,638.349,0.002
260,0.200,748.688,748.688,748.688,748.688,748.688,748.688,748.688,748.688,748.688,0.001
