Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
87,5,5.000,131620,145668,150584,209158,272338,345584,345584,345584,345584
88,3,3.000,159375,159375,698634,537939,755810,755810,755810,755810,755810
89,1,1.000,643198,643198,643198,643198,643198,643198,643198,643198,643198
90,5,5.000,116526,124778,125686,145301,128843,230674,230674,230674,230674
91,5,5.000,108400,155474,199060,183453,223653,230682,230682,230682,230682
92,6,6.000,125703,142345,149305,170372,163491,296474,296474,296474,296474
93,7,7.000,13732,105865,173364,170654,250522,315446,315446,315446,315446
94,4,4.000,147037,179232,230903,197201,231635,231635,231635,231635,231635
95,6,6.000,113203,150619,215843,204031,239667,293768,293768,293768,293768
96,6,6.000,50085,116517,126195,134477,155625,233291,233291,233291,233291
97,7,7.000,13560,105007,113700,172905,307153,309886,309886,309886,309886
98,3,3.000,119701,119701,131282,284193,601596,601596,601596,601596,601596
99,6,6.000,109866,131208,165008,183602,263337,294121,294121,294121,294121
100,5,5.000,110340,148656,156488,247967,176835,647516,647516,647516,647516
101,1,1.000,646325,646325,646325,646325,646325,646325,646325,646325,646325
102,5,5.000,119836,191825,191865,200352,227348,270887,270887,270887,270887
103,6,6.000,123115,127735,155396,173135,226094,258661,258661,258661,258661
104,3,3.000,113401,113401,205508,309010,608123,608123,608123,608123,608123
105,6,6.000,114156,120631,150565,165055,232551,250952,250952,250952,250952
106,6,6.000,123078,131472,229610,187145,245771,248728,248728,248728,248728
107,4,4.000,190041,231811,245519,323842,627998,627998,627998,627998,627998
108,3,3.000,48109,48109,233354,195604,305350,305350,305350,305350,305350
109,5,5.000,151957,173612,189052,213172,268823,282419,282419,282419,282419
110,5,5.000,14199,131350,250982,192331,261409,303716,303716,303716,303716
111,6,6.000,109838,137509,143758,241989,197372,719911,719911,719911,719911
112,3,3.000,136422,136422,175550,171181,201572,201572,201572,201572,201572
113,6,6.000,7830,43760,227563,163952,231940,256456,256456,256456,256456
114,3,3.000,119372,119372,266975,334213,616293,616293,616293,616293,616293
115,6,6.000,95765,118532,201527,185243,249825,300895,300895,300895,300895
116,5,5.000,118232,161727,225724,202722,236667,271264,271264,271264,271264
117,3,3.000,189547,189547,259547,362622,638772,638772,638772,638772,638772
118,5,5.000,13390,167413,215451,183942,253332,270127,270127,270127,270127
119,5,5.000,130967,143524,155504,177054,155568,299709,299709,299709,299709
120,5,5.000,142186,161543,194192,196866,218065,268348,268348,268348,268348
121,6,6.000,105154,122724,221597,187119,251517,264855,264855,264855,264855
122,6,6.000,125327,143618,161525,164884,193976,209055,209055,209055,209055
123,5,5.000,133494,140374,175440,186120,216235,265059,265059,265059,265059
124,6,6.000,48774,121837,174259,164393,217075,264578,264578,264578,264578
125,3,3.000,139133,139133,158633,341735,727441,727441,727441,727441,727441
126,5,5.000,127638,140700,212327,197504,217917,288938,288938,288938,288938
127,7,7.000,47165,152390,155583,162744,178362,273271,273271,273271,273271
128,5,5.000,132971,135810,149536,163598,152431,247242,247242,247242,247242
129,2,2.000,304361,304361,666854,485607,666854,666854,666854,666854,666854
130,3,3.000,167003,167003,223571,356963,680315,680315,680315,680315,680315
131,3,3.000,13433,13433,182488,308788,730445,730445,730445,730445,730445
132,5,5.000,149447,160998,218687,200794,235311,239527,239527,239527,239527
133,3,3.000,129697,129697,207462,494538,1146456,1146456,1146456,1146456,1146456
134,1,1.000,519132,519132,519132,519132,519132,519132,519132,519132,519132
135,3,3.000,411515,411515,438356,479635,589034,589034,589034,589034,589034
136,2,2.000,360826,360826,508546,434686,508546,508546,508546,508546,508546
137,3,3.000,220037,220037,260451,282296,366401,366401,366401,366401,366401
138,5,5.000,113680,131598,149672,178244,202637,293637,293637,293637,293637
139,6,6.000,13911,41310,247854,167440,279972,289947,289947,289947,289947
140,9,9.000,9839,115015,131417,110368,139792,162462,162462,162462,162462
141,7,7.000,13382,124103,131617,161244,282635,308818,308818,308818,308818
142,4,4.000,132837,162745,262172,215140,302807,302807,302807,302807,302807
143,5,5.000,111614,154527,185989,205593,259983,315856,315856,315856,315856
144,6,6.000,16732,105202,191530,217904,198545,636489,636489,636489,636489
145,4,4.000,125004,142287,155659,188186,329796,329796,329796,329796,329796
146,6,6.000,13096,125140,141304,160613,262308,283103,283103,283103,283103
147,5,5.000,134584,155461,161416,188911,207031,286064,286064,286064,286064
148,4,4.000,38968,153590,227417,275459,681864,681864,681864,681864,681864
149,2,2.000,221747,221747,671148,446447,671148,671148,671148,671148,671148
150,5,5.000,107314,111752,227855,205965,287204,295702,295702,295702,295702
151,4,4.000,121647,127927,143637,252949,618588,618588,618588,618588,618588
152,6,6.000,51764,131700,145549,164361,251495,264019,264019,264019,264019
153,7,7.000,42424,103590,129008,141668,193295,269243,269243,269243,269243
154,6,6.000,108901,124993,152724,159307,212086,229389,229389,229389,229389
155,7,7.000,110208,126174,137550,211979,195120,645876,645876,645876,645876
156,4,4.000,107699,131731,137552,142398,192612,192612,192612,192612,192612
157,7,7.000,14095,143652,173847,162250,199914,254794,254794,254794,254794
158,5,5.000,113541,131536,131681,176256,205503,299020,299020,299020,299020
159,5,5.000,112934,117319,138431,185784,265674,294565,294565,294565,294565
160,6,6.000,113130,113860,255473,193613,260229,289028,289028,289028,289028
161,5,5.000,113659,134227,178927,172706,199299,237420,237420,237420,237420
162,6,6.000,112398,116305,176766,170697,200817,282795,282795,282795,282795
163,8,8.000,13661,116642,147412,145439,238263,238840,238840,238840,238840
164,8,8.000,8849,124864,130539,101681,135038,144417,144417,144417,144417
165,7,7.000,110671,113753,170400,160413,185730,230990,230990,230990,230990
166,6,6.000,107469,110199,130772,153035,173815,279937,279937,279937,279937
167,7,7.000,11919,115662,137669,138943,180593,252798,252798,252798,252798
168,5,5.000,113241,189174,233736,212824,258402,269570,269570,269570,269570
169,6,6.000,101227,112539,152936,148913,170567,230280,230280,230280,230280
170,7,7.000,116165,129018,137604,155200,161558,260789,260789,260789,260789
171,7,7.000,13763,36521,137602,146007,237765,255464,255464,255464,255464
172,6,6.000,111123,122188,139554,147899,189344,194513,194513,194513,194513
173,6,6.000,13938,145283,226900,188864,295198,297376,297376,297376,297376
174,5,5.000,112873,170008,171077,175810,195370,229724,229724,229724,229724
175,3,3.000,136249,136249,211500,368469,757659,757659,757659,757659,757659
176,5,5.000,137260,155894,156243,197566,250815,287620,287620,287620,287620
177,6,6.000,95192,137821,179542,173620,205197,274816,274816,274816,274816
178,5,5.000,142915,150130,156884,272453,196162,716176,716176,716176,716176
179,4,4.000,9889,117658,163991,133748,243455,243455,243455,243455,243455
180,2,2.000,258213,258213,748437,503325,748437,748437,748437,748437,748437
181,6,6.000,124776,139267,149448,166280,216630,223496,223496,223496,223496
182,6,6.000,119406,134677,245830,205729,282851,293377,293377,293377,293377
183,5,5.000,12936,113519,143654,166009,267457,292480,292480,292480,292480
184,5,5.000,126184,164895,189340,194050,202782,287051,287051,287051,287051
185,4,4.000,9072,192609,214897,268026,655528,655528,655528,655528,655528
186,4,4.000,138136,145128,264277,213110,304901,304901,304901,304901,304901
