Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1713718768.067517,284326,0,1
1,NewOrder,1713718768.352090,305747,0,1
1,NewOrder,1713718768.657878,174239,0,1
1,NewOrder,1713718768.832167,233773,0,1
2,Payment,1713718769.065985,118828,0,1
2,Payment,1713718769.184865,125795,0,1
1,NewOrder,1713718769.310695,218822,0,1
4,Delivery,1713718769.529561,637215,0,1
2,Payment,1713718770.166825,124537,0,1
1,NewOrder,1713718770.291398,166245,0,1
1,NewOrder,1713718770.457692,233038,0,1
1,NewOrder,1713718770.690774,200899,0,1
2,Payment,1713718770.891724,107300,0,1
1,NewOrder,1713718770.999062,201931,0,1
2,Payment,1713718771.201039,137267,0,1
1,NewOrder,1713718771.338351,218617,0,1
2,Payment,1713718771.557013,112684,0,1
2,Payment,1713718771.669732,131535,0,1
1,NewOrder,1713718771.801307,290077,0,1
5,StockLevel,1713718772.091437,65008,0,1
2,Payment,1713718772.156481,351023,0,1
2,Payment,1713718772.507553,136183,0,1
2,Payment,1713718772.643768,137175,0,1
2,Payment,1713718772.780976,125481,0,1
2,Payment,1713718772.906489,125723,0,1
5,StockLevel,1713718773.032244,49249,0,1
1,NewOrder,1713718773.081524,235264,0,1
3,OrderStatus,1713718773.316825,14885,0,1
1,NewOrder,1713718773.331740,145949,0,1
1,NewOrder,1713718773.477725,267115,0,1
1,NewOrder,1713718773.744878,176167,0,1
1,NewOrder,1713718773.921080,191611,0,1
1,NewOrder,1713718774.112745,233944,0,1
1,NewOrder,1713718774.346739,202324,0,1
1,NewOrder,1713718774.549104,265027,0,1
2,Payment,1713718774.814181,110125,0,1
1,NewOrder,1713718774.924354,303782,0,1
2,Payment,1713718775.228183,109145,0,1
2,Payment,1713718775.337366,131670,0,1
1,NewOrder,1713718775.469071,289579,0,1
1,NewOrder,1713718775.758691,199833,0,1
2,Payment,1713718775.958567,115140,0,1
4,Delivery,1713718776.073752,601382,0,1
1,NewOrder,1713718776.675201,149563,0,1
1,NewOrder,1713718776.824814,237155,0,1
1,NewOrder,1713718777.062012,143811,0,1
2,Payment,1713718777.205865,119430,0,1
4,Delivery,1713718777.325332,593116,0,1
1,NewOrder,1713718777.918493,236643,0,1
2,Payment,1713718778.155188,104226,0,1
1,NewOrder,1713718778.259448,176101,0,1
3,OrderStatus,1713718778.435586,23940,0,1
2,Payment,1713718778.459558,117086,0,1
1,NewOrder,1713718778.576677,248804,0,1
1,NewOrder,1713718778.825520,299890,0,1
2,Payment,1713718779.125452,114401,0,1
2,Payment,1713718779.239888,126927,0,1
1,NewOrder,1713718779.366852,287471,0,1
2,Payment,1713718779.654362,121974,0,1
3,OrderStatus,1713718779.776372,13900,0,1
1,NewOrder,1713718779.790311,203972,0,1
2,Payment,1713718779.994336,114817,0,1
5,StockLevel,1713718780.109194,48695,0,1
1,NewOrder,1713718780.157945,254082,0,1
1,NewOrder,1713718780.412112,233267,0,1
1,NewOrder,1713718780.645443,262122,0,1
2,Payment,1713718780.907616,105538,0,1
2,Payment,1713718781.013190,132437,0,1
1,NewOrder,1713718781.145687,289355,0,1
1,NewOrder,1713718781.435082,239871,0,1
2,Payment,1713718781.675002,117304,0,1
2,Payment,1713718781.792338,150003,0,1
1,NewOrder,1713718781.942384,299245,0,1
3,OrderStatus,1713718782.241708,12050,0,1
2,Payment,1713718782.253790,106558,0,1
2,Payment,1713718782.360386,161936,0,1
1,NewOrder,1713718782.522364,180246,0,1
2,Payment,1713718782.702655,108881,0,1
1,NewOrder,1713718782.811571,265385,0,1
2,Payment,1713718783.076997,107342,0,1
5,StockLevel,1713718783.184373,47170,0,1
1,NewOrder,1713718783.231587,204556,0,1
3,OrderStatus,1713718783.436211,10267,0,1
2,Payment,1713718783.446577,113270,0,1
2,Payment,1713718783.559881,129769,0,1
1,NewOrder,1713718783.689688,279264,0,1
2,Payment,1713718783.968990,114561,0,1
2,Payment,1713718784.083584,129753,0,1
2,Payment,1713718784.213374,128694,0,1
1,NewOrder,1713718784.342099,167820,0,1
1,NewOrder,1713718784.509951,185797,0,1
1,NewOrder,1713718784.695782,203600,0,1
1,NewOrder,1713718784.899417,275047,0,1
1,NewOrder,1713718785.174509,255155,0,1
2,Payment,1713718785.429698,106832,0,1
1,NewOrder,1713718785.536562,248793,0,1
1,NewOrder,1713718785.785403,230658,0,1
1,NewOrder,1713718786.016103,278331,0,1
