Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1713713161.763416,159284,0,1
1,NewOrder,1713713161.922730,186970,0,1
4,Delivery,1713713162.109748,396715,0,1
1,NewOrder,1713713162.506505,150181,0,1
2,Payment,1713713162.656725,88788,0,1
2,Payment,1713713162.745542,113642,0,1
3,OrderStatus,1713713162.859214,7724,0,1
2,Payment,1713713162.866967,105885,0,1
1,NewOrder,1713713162.972881,201907,0,1
2,Payment,1713713163.174820,88989,0,1
1,NewOrder,1713713163.263837,138586,0,1
1,NewOrder,1713713163.402454,107530,0,1
2,Payment,1713713163.510014,98131,0,1
1,NewOrder,1713713163.608174,146973,0,1
1,NewOrder,1713713163.755177,150295,0,1
2,Payment,1713713163.905502,151152,0,1
1,NewOrder,1713713164.056684,195992,0,1
1,NewOrder,1713713164.252715,119641,0,1
2,Payment,1713713164.372386,95092,0,1
1,NewOrder,1713713164.467521,131793,0,1
5,StockLevel,1713713164.599344,20040,0,1
2,Payment,1713713164.619412,90373,0,1
2,Payment,1713713164.709815,107169,0,1
2,Payment,1713713164.817013,113710,0,1
5,StockLevel,1713713164.930752,17591,0,1
2,Payment,1713713164.948372,88065,0,1
2,Payment,1713713165.036467,97915,0,1
2,Payment,1713713165.134411,107509,0,1
2,Payment,1713713165.241950,120355,0,1
1,NewOrder,1713713165.362335,167772,0,1
1,NewOrder,1713713165.530137,123111,0,1
2,Payment,1713713165.653280,97555,0,1
2,Payment,1713713165.750864,113769,0,1
2,Payment,1713713165.864672,113641,0,1
1,NewOrder,1713713165.978342,163600,0,1
2,Payment,1713713166.141972,105748,0,1
1,NewOrder,1713713166.247751,120369,0,1
1,NewOrder,1713713166.368150,123186,0,1
2,Payment,1713713166.491373,109583,0,1
1,NewOrder,1713713166.600992,156684,0,1
1,NewOrder,1713713166.757707,122931,0,1
2,Payment,1713713166.880668,109575,0,1
2,Payment,1713713166.990274,113711,0,1
3,OrderStatus,1713713167.104015,8137,0,1
2,Payment,1713713167.112190,117351,0,1
1,NewOrder,1713713167.229659,171849,0,1
1,NewOrder,1713713167.401543,188235,0,1
2,Payment,1713713167.589811,112844,0,1
1,NewOrder,1713713167.702684,114428,0,1
2,Payment,1713713167.817141,101077,0,1
1,NewOrder,1713713167.918248,166536,0,1
3,OrderStatus,1713713168.084813,7607,0,1
1,NewOrder,1713713168.092453,113435,0,1
3,OrderStatus,1713713168.205925,7123,0,1
2,Payment,1713713168.213074,106292,0,1
2,Payment,1713713168.319395,107711,0,1
