Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,5.200,192.797,49.249,125.481,166.245,233.038,305.747,351.023,637.215,637.215,0.005
5,4.600,220.550,14.885,131.670,199.833,265.027,303.782,593.116,601.382,601.382,0.005
10,6.000,164.016,12.050,108.881,150.003,248.804,289.355,299.245,299.890,299.890,0.006
15,6.200,164.195,10.267,111.609,142.232,248.793,275.047,279.264,284.245,284.245,0.006
20,4.600,214.537,15.826,114.972,135.446,218.977,595.725,613.177,793.787,793.787,0.005
25,5.400,183.848,15.657,145.571,160.617,222.840,315.889,321.948,329.632,329.632,0.005
30,5.000,227.262,13.711,166.738,197.310,249.790,300.248,727.526,732.246,732.246,0.004
35,4.200,211.413,14.088,157.908,177.432,257.072,273.982,281.586,755.391,755.391,0.005
40,4.400,233.803,45.053,152.184,212.710,267.952,291.074,651.628,745.412,745.412,0.004
45,4.800,205.292,9.905,160.042,202.696,237.190,277.924,325.974,711.936,711.936,0.005
50,5.200,185.199,14.574,127.883,187.851,251.734,299.424,304.805,309.334,309.334,0.005
55,5.600,181.183,9.803,128.643,163.641,261.369,289.739,290.471,305.999,305.999,0.006
60,4.600,225.416,13.204,148.669,188.427,251.671,269.135,713.578,781.766,781.766,0.004
65,5.200,185.127,14.323,125.327,197.665,251.776,285.503,295.274,303.165,303.165,0.005
70,6.200,165.420,8.439,111.193,136.847,202.241,277.084,318.568,624.819,624.819,0.006
75,4.800,206.825,49.130,130.930,147.447,251.502,297.831,604.790,613.976,613.976,0.005
80,4.400,225.768,104.510,133.622,180.399,254.739,290.952,619.864,670.174,670.174,0.004
85,3.600,289.464,131.620,150.584,256.759,319.881,698.634,755.810,755.810,755.810,0.003
90,5.400,172.200,13.732,125.686,155.474,230.674,250.522,296.474,315.446,315.446,0.006
95,5.600,185.556,13.560,116.517,150.619,248.088,307.153,309.886,601.596,601.596,0.005
100,4.000,242.688,110.340,147.809,191.825,258.661,646.325,647.516,647.516,647.516,0.004
105,4.800,210.886,48.109,144.214,229.610,248.728,282.419,305.350,627.998,627.998,0.005
110,4.600,213.630,7.830,131.350,197.372,256.456,303.716,616.293,719.911,719.911,0.005
115,4.800,209.080,13.390,144.918,201.527,259.547,299.709,300.895,638.772,638.772,0.005
120,5.600,179.047,48.774,142.186,174.259,218.065,264.855,265.059,268.348,268.348,0.006
125,4.400,224.597,47.165,140.700,158.633,247.242,304.361,666.854,727.441,727.441,0.004
130,3.000,333.598,13.433,160.998,218.687,519.132,730.445,1146.456,1146.456,1146.456,0.003
135,3.800,265.844,13.911,131.646,260.451,366.401,508.546,589.034,589.034,589.034,0.004
140,6.200,171.548,9.839,116.920,143.633,198.545,302.807,315.856,636.489,636.489,0.006
145,4.200,221.701,13.096,138.731,155.659,262.308,329.796,671.148,681.864,681.864,0.005
150,5.600,177.690,42.424,121.647,143.637,229.389,287.204,295.702,618.588,618.588,0.006
155,5.600,178.550,14.095,131.207,138.431,199.914,294.565,299.020,645.876,645.876,0.006
160,6.600,152.314,8.849,116.305,134.227,199.299,255.473,282.795,289.028,289.028,0.007
165,6.200,160.365,11.919,113.753,142.328,189.174,252.798,269.570,279.937,279.937,0.006
170,6.200,161.551,13.763,122.188,149.642,226.900,255.464,295.198,297.376,297.376,0.006
175,4.600,218.792,9.889,137.821,156.884,243.455,287.620,716.176,757.659,757.659,0.005
180,4.800,209.959,12.936,139.267,189.340,267.457,292.480,293.377,748.437,748.437,0.005
185,5.000,196.735,9.072,144.412,163.336,264.277,304.901,352.429,655.528,655.528,0.005
190,4.600,217.431,38.947,147.854,204.169,262.130,290.220,295.374,748.359,748.359,0.005
195,5.200,199.933,13.940,137.651,166.761,256.486,288.989,314.566,633.008,633.008,0.005
200,5.200,185.072,10.116,126.761,179.728,271.760,309.397,310.686,339.970,339.970,0.005
205,5.200,195.310,13.663,143.668,204.696,261.000,291.663,294.810,296.349,296.349,0.005
