Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
330,2.200,245.078,131.517,169.315,222.776,334.986,378.776,405.970,405.970,405.970,0.004
335,2.400,201.782,127.157,178.549,206.859,233.807,239.553,245.022,245.022,245.022,0.005
340,3.400,172.487,125.743,139.980,177.089,202.901,206.068,225.601,225.601,225.601,0.006
345,2.800,191.983,135.685,163.387,204.704,216.004,216.631,242.388,242.388,242.388,0.005
350,4.400,175.013,111.608,143.707,176.236,198.055,216.468,227.409,234.297,234.297,0.006
355,3.000,177.898,145.745,167.956,175.899,187.966,200.719,228.948,228.948,228.948,0.006
360,2.000,189.353,148.656,156.431,183.158,228.741,254.458,254.458,254.458,254.458,0.005
365,2.200,210.393,159.265,165.651,203.028,247.959,265.633,272.161,272.161,272.161,0.005
370,2.600,193.426,135.666,149.788,186.899,232.762,234.803,247.425,247.425,247.425,0.005
375,3.200,197.091,137.070,179.866,198.945,230.386,240.855,241.731,241.731,241.731,0.005
380,3.000,196.051,113.564,156.848,192.591,238.778,251.596,260.109,260.109,260.109,0.005
385,2.800,201.611,163.054,171.281,205.569,217.943,233.409,254.442,254.442,254.442,0.005
390,2.000,219.149,143.530,189.002,235.106,248.225,257.563,257.563,257.563,257.563,0.005
395,2.800,197.515,133.198,154.925,205.027,235.278,241.613,279.129,279.129,279.129,0.005
400,2.200,196.531,143.075,186.381,201.091,217.583,219.487,221.740,221.740,221.740,0.005
405,2.200,184.460,143.286,143.657,180.688,222.591,239.220,243.007,243.007,243.007,0.005
410,4.000,174.886,117.133,137.396,175.693,199.887,248.361,253.491,253.491,253.491,0.006
415,3.200,172.652,123.932,145.418,185.464,193.909,214.964,248.067,248.067,248.067,0.006
420,3.200,172.665,125.032,157.127,169.657,208.102,217.546,232.611,232.611,232.611,0.006
425,3.400,177.393,129.899,150.707,178.109,196.155,218.043,242.168,242.168,242.168,0.006
430,3.000,178.035,119.166,151.858,181.800,195.592,217.770,227.613,227.613,227.613,0.006
435,3.600,179.257,138.732,150.444,184.214,198.802,217.971,228.824,228.824,228.824,0.006
440,2.800,189.830,128.595,169.658,197.249,203.773,232.678,242.038,242.038,242.038,0.005
445,2.600,195.234,118.816,156.354,204.754,230.514,243.599,248.074,248.074,248.074,0.005
450,2.200,176.266,124.512,136.215,193.135,195.617,228.077,241.929,241.929,241.929,0.006
455,2.200,175.092,134.726,147.976,168.018,203.876,206.498,235.213,235.213,235.213,0.006
460,3.200,179.638,131.615,148.821,190.710,208.960,219.344,225.714,225.714,225.714,0.006
465,2.200,191.359,133.192,174.403,184.758,216.202,245.589,254.228,254.228,254.228,0.005
470,2.200,212.638,122.173,155.407,200.520,221.332,239.735,454.097,454.097,454.097,0.005
475,1.600,203.610,163.791,174.202,210.595,227.107,288.548,288.548,288.548,288.548,0.005
480,3.200,209.882,135.966,189.302,215.235,239.755,254.475,272.000,272.000,272.000,0.005
485,2.400,181.351,158.006,167.739,179.253,193.741,197.790,236.390,236.390,236.390,0.006
490,2.200,200.695,163.719,172.918,199.440,233.892,235.913,243.291,243.291,243.291,0.005
495,2.600,215.559,172.277,206.401,216.748,233.948,242.664,259.910,259.910,259.910,0.005
500,3.800,160.180,119.305,133.698,148.479,186.092,214.591,241.852,241.852,241.852,0.006
505,3.000,176.555,111.051,164.519,183.045,209.368,215.633,223.283,223.283,223.283,0.006
510,2.600,192.989,145.835,169.626,185.257,200.433,245.893,248.605,248.605,248.605,0.005
515,3.400,189.154,129.282,143.815,203.240,233.179,245.674,252.524,252.524,252.524,0.005
520,2.400,197.357,121.997,167.183,199.832,226.019,258.577,271.630,271.630,271.630,0.005
525,2.600,194.355,163.461,179.660,185.573,214.130,237.750,239.823,239.823,239.823,0.005
530,2.000,201.118,149.489,181.425,206.673,217.925,263.500,263.500,263.500,263.500,0.005
535,3.200,199.973,143.012,185.238,207.764,224.193,246.155,246.716,246.716,246.716,0.005
