Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,9,9.000,11062,110103,131421,119361,145013,174072,174072,174072,174072
1,7,7.000,100540,112479,125719,157291,216215,222589,222589,222589,222589
2,7,7.000,106717,106917,132120,129838,150492,155715,155715,155715,155715
3,5,5.000,112023,125643,156777,194035,168466,407268,407268,407268,407268
4,8,8.000,83718,106879,149765,140111,168462,210937,210937,210937,210937
5,8,8.000,8194,112654,120600,112794,143816,159392,159392,159392,159392
6,8,8.000,11464,107578,114073,126396,191882,193238,193238,193238,193238
7,7,7.000,106891,112533,125625,135196,160737,174307,174307,174307,174307
8,5,5.000,106088,112732,167825,192829,193360,384144,384144,384144,384144
9,9,9.000,11367,108584,127726,119875,167763,190342,190342,190342,190342
10,7,7.000,10829,132340,172627,151236,191974,196593,196593,196593,196593
11,7,7.000,100932,112385,127898,136577,167378,168970,168970,168970,168970
12,6,6.000,119445,120093,163748,172598,178395,305442,305442,305442,305442
13,6,6.000,100743,123290,135223,148723,182035,217894,217894,217894,217894
14,6,6.000,101420,102233,161818,177366,177199,403471,403471,403471,403471
15,7,7.000,101283,119743,166155,185123,182018,397934,397934,397934,397934
16,6,6.000,90468,113745,117869,125371,132681,180235,180235,180235,180235
17,6,6.000,89630,114245,145206,144042,183611,212418,212418,212418,212418
18,7,7.000,13095,98990,135532,154440,179600,392913,392913,392913,392913
19,6,6.000,95258,125730,168078,158107,193361,204478,204478,204478,204478
20,7,7.000,103961,108199,140673,173189,186970,396715,396715,396715,396715
21,7,7.000,7724,88788,105885,108159,150181,201907,201907,201907,201907
22,8,8.000,98131,119641,146973,138537,151152,195992,195992,195992,195992
23,11,11.000,17591,88065,97915,89964,113710,120355,131793,131793,131793
24,8,8.000,97555,113641,120369,125695,163600,167772,167772,167772,167772
25,9,9.000,8137,109583,117351,114778,123186,171849,171849,171849,171849
26,9,9.000,7123,101077,112844,101953,114428,188235,188235,188235,188235
27,8,8.000,101107,112493,131762,133909,160647,187500,187500,187500,187500
28,3,3.000,327949,327949,347259,343188,354358,354358,354358,354358,354358
29,3,3.000,310996,310996,377360,379392,449820,449820,449820,449820,449820
30,4,4.000,12144,173875,311054,209022,339018,339018,339018,339018,339018
31,7,7.000,92040,92803,111596,131294,189230,203607,203607,203607,203607
32,4,4.000,131655,138064,146848,248715,578295,578295,578295,578295,578295
33,4,4.000,148628,173719,189019,271543,574807,574807,574807,574807,574807
34,7,7.000,30182,136141,148718,139307,174425,180850,180850,180850,180850
35,6,6.000,141887,148503,173634,172825,205037,205224,205224,205224,205224
36,6,6.000,136529,142032,167437,169316,204619,205283,205283,205283,205283
37,5,5.000,136083,143530,167459,174773,190982,235814,235814,235814,235814
38,6,6.000,92027,129229,167558,165815,222611,240471,240471,240471,240471
39,7,7.000,113822,118576,137401,151134,168892,233708,233708,233708,233708
40,7,7.000,101541,113730,133524,142856,159149,219758,219758,219758,219758
41,5,5.000,88739,107596,164884,209181,198973,485717,485717,485717,485717
42,8,8.000,8934,107589,138682,124237,166072,194303,194303,194303,194303
43,4,4.000,104020,104414,458436,282863,464585,464585,464585,464585,464585
44,5,5.000,7875,95791,99590,175565,200797,473775,473775,473775,473775
45,8,8.000,89827,113114,119672,114716,122258,135020,135020,135020,135020
46,9,9.000,8013,107754,112876,113089,129209,194474,194474,194474,194474
47,8,8.000,7783,99293,125549,151203,164103,487398,487398,487398,487398
48,4,4.000,91493,119650,147598,212567,491527,491527,491527,491527,491527
49,8,8.000,10524,107747,144869,121627,163887,166702,166702,166702,166702
50,4,4.000,125613,130371,187141,235360,498315,498315,498315,498315,498315
51,9,9.000,29104,106646,119728,121820,150888,169061,169061,169061,169061
52,7,7.000,106225,119177,120348,143465,178659,192818,192818,192818,192818
53,9,9.000,12338,102078,119241,110407,143611,209110,209110,209110,209110
54,3,3.000,106102,106102,197966,293295,575817,575817,575817,575817,575817
55,10,10.000,7854,102288,119745,104162,125733,178347,178347,178347,178347
56,5,5.000,108215,108463,130558,211146,193463,515035,515035,515035,515035
57,7,7.000,107119,114793,124555,126263,138755,154390,154390,154390,154390
58,5,5.000,137665,149886,204703,260102,226537,581721,581721,581721,581721
59,4,4.000,136840,181046,183339,269619,577252,577252,577252,577252,577252
60,5,5.000,7490,153078,160969,133826,173237,174358,174358,174358,174358
61,6,6.000,125406,154201,167593,167581,173760,216983,216983,216983,216983
62,6,6.000,25300,130392,185299,216677,215731,575700,575700,575700,575700
63,5,5.000,21218,132548,142500,136509,176658,209622,209622,209622,209622
64,6,6.000,124990,125951,162289,165490,197010,239390,239390,239390,239390
65,6,6.000,167441,167553,167633,168647,168122,173559,173559,173559,173559
