Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2.200,229.792,166.245,200.899,218.822,284.326,290.077,305.747,305.747,305.747,0.004
5,3.000,218.518,143.811,176.167,233.944,265.027,289.579,303.782,303.782,303.782,0.005
10,2.600,249.216,176.101,233.267,254.082,287.471,299.245,299.890,299.890,299.890,0.004
15,3.000,232.019,159.794,185.797,248.793,275.047,279.264,284.245,284.245,284.245,0.004
20,1.200,218.847,143.001,159.444,218.977,275.263,308.863,308.863,308.863,308.863,0.005
25,2.400,243.439,157.908,202.636,245.385,315.889,321.948,329.632,329.632,329.632,0.004
30,2.400,237.931,166.738,215.394,245.464,277.413,286.644,300.248,300.248,300.248,0.004
35,1.600,242.304,197.241,200.574,259.105,273.982,281.586,281.586,281.586,281.586,0.004
40,2.200,244.828,185.272,212.710,236.488,280.861,284.299,291.074,291.074,291.074,0.004
45,3.000,225.349,166.040,202.678,212.688,246.293,277.924,325.974,325.974,325.974,0.004
50,3.000,241.042,179.688,189.678,245.196,280.890,304.805,309.334,309.334,309.334,0.004
55,3.000,243.811,143.784,215.629,259.982,281.825,290.471,305.999,305.999,305.999,0.004
60,2.400,224.255,169.348,202.454,237.546,264.281,264.460,269.135,269.135,269.135,0.004
65,3.600,227.322,143.536,190.501,233.959,267.197,295.274,303.165,303.165,303.165,0.004
70,2.600,226.929,155.879,187.787,202.241,274.832,312.093,318.568,318.568,318.568,0.004
75,1.800,238.347,192.926,195.464,233.704,262.309,297.831,297.831,297.831,297.831,0.004
80,1.800,239.151,172.922,212.642,253.175,270.327,290.952,290.952,290.952,290.952,0.004
85,1.400,273.273,159.375,256.759,272.338,319.881,345.584,345.584,345.584,345.584,0.004
90,2.600,223.841,147.037,199.060,230.674,231.635,296.474,315.446,315.446,315.446,0.004
95,2.600,237.499,150.619,211.086,239.667,293.768,307.153,309.886,309.886,309.886,0.004
100,2.200,200.180,147.809,156.488,191.865,227.348,258.661,270.887,270.887,270.887,0.005
105,3.000,231.877,150.565,190.041,233.354,250.952,282.419,305.350,305.350,305.350,0.004
110,1.800,245.842,197.372,227.563,250.982,261.409,303.716,303.716,303.716,303.716,0.004
115,2.400,247.801,189.547,225.724,253.332,271.264,299.709,300.895,300.895,300.895,0.004
120,2.600,227.601,174.259,209.055,218.065,264.578,265.059,268.348,268.348,268.348,0.004
125,1.400,246.060,178.362,212.327,247.242,288.938,304.361,304.361,304.361,304.361,0.004
130,2.000,230.363,149.447,167.003,218.687,235.311,519.132,519.132,519.132,519.132,0.004
135,1.800,288.810,202.637,247.854,279.972,293.637,438.356,438.356,438.356,438.356,0.003
140,2.000,247.080,162.462,191.530,262.172,302.807,315.856,315.856,315.856,315.856,0.004
145,1.400,259.638,207.031,221.747,262.308,286.064,329.796,329.796,329.796,329.796,0.004
150,2.000,238.301,152.724,212.086,251.495,269.243,295.702,295.702,295.702,295.702,0.004
155,2.200,220.955,163.153,186.301,199.914,265.674,294.565,299.020,299.020,299.020,0.005
160,2.400,227.683,174.337,199.299,238.263,260.229,282.795,289.028,289.028,289.028,0.004
165,3.200,206.681,142.328,173.815,189.174,252.798,269.570,279.937,279.937,279.937,0.005
170,2.200,233.581,154.494,194.513,229.724,260.789,295.198,297.376,297.376,297.376,0.004
175,1.600,220.595,95.192,205.197,243.455,274.816,287.620,287.620,287.620,287.620,0.005
180,2.200,248.037,158.238,216.630,258.213,287.051,292.480,293.377,293.377,293.377,0.004
185,1.800,265.259,192.609,220.074,269.440,288.661,352.429,352.429,352.429,352.429,0.004
190,2.400,248.298,182.099,228.471,257.599,284.372,290.220,295.374,295.374,295.374,0.004
195,2.000,249.886,162.834,239.791,258.406,275.273,314.566,314.566,314.566,314.566,0.004
200,2.800,252.060,161.661,219.374,271.760,295.437,310.686,339.970,339.970,339.970,0.004
205,2.800,256.581,204.568,229.858,261.000,290.610,294.810,296.349,296.349,296.349,0.004
210,2.800,259.945,173.391,221.041,274.512,298.833,311.478,315.110,315.110,315.110,0.004
215,2.000,270.806,142.224,192.229,243.172,271.993,536.054,536.054,536.054,536.054,0.004
220,3.000,233.086,143.602,194.458,232.091,285.782,296.780,313.551,313.551,313.551,0.004
225,2.200,236.321,174.597,189.764,239.032,262.456,289.747,330.602,330.602,330.602,0.004
230,2.000,266.598,197.161,234.272,272.607,308.114,348.477,348.477,348.477,348.477,0.004
235,2.600,228.033,182.080,199.471,218.141,240.906,291.720,310.670,310.670,310.670,0.004
240,2.400,245.489,152.275,214.064,244.680,312.207,317.104,328.282,328.282,328.282,0.004
245,2.200,254.221,171.409,231.337,242.111,297.114,311.581,334.662,334.662,334.662,0.004
250,2.000,263.635,185.255,225.286,294.417,312.978,330.399,330.399,330.399,330.399,0.004
255,2.000,222.733,153.838,188.557,244.817,257.504,286.450,286.450,286.450,286.450,0.004
260,2.000,236.719,146.370,187.587,239.121,269.544,342.377,342.377,342.377,342.377,0.004
265,2.400,283.836,196.267,282.612,296.139,322.331,331.026,347.455,347.455,347.455,0.004
270,2.800,219.059,153.258,173.157,216.140,237.927,324.034,332.628,332.628,332.628,0.005
275,2.600,247.403,171.287,233.050,244.010,273.215,306.163,314.793,314.793,314.793,0.004
280,1.800,255.630,197.102,217.028,263.377,289.824,315.530,315.530,315.530,315.530,0.004
285,3.000,226.003,173.343,192.108,225.305,239.629,306.738,310.418,310.418,310.418,0.004
290,2.800,236.093,173.846,196.284,235.652,272.494,287.360,343.192,343.192,343.192,0.004
295,2.000,227.696,177.848,217.395,234.835,241.798,263.542,263.542,263.542,263.542,0.004
300,2.200,213.800,157.742,166.248,202.372,250.128,293.348,305.826,305.826,305.826,0.005
305,2.400,236.015,161.674,212.363,237.379,282.044,282.115,284.933,284.933,284.933,0.004
310,2.400,276.899,185.136,270.633,288.451,308.832,338.626,349.077,349.077,349.077,0.004
315,2.000,234.709,167.324,197.756,219.167,294.218,331.916,331.916,331.916,331.916,0.004
320,2.000,312.204,168.350,228.306,289.047,354.907,702.407,702.407,702.407,702.407,0.003
325,2.800,242.439,197.600,209.768,233.776,267.730,310.313,322.340,322.340,322.340,0.004
330,2.400,241.187,176.549,204.074,249.589,300.748,309.074,313.768,313.768,313.768,0.004
335,2.600,262.368,162.059,249.718,263.462,292.523,319.062,323.768,323.768,323.768,0.004
340,2.200,250.473,189.093,214.121,228.072,291.324,296.691,383.170,383.170,383.170,0.004
345,2.600,220.978,167.421,188.007,214.974,247.158,258.827,270.905,270.905,270.905,0.005
350,2.400,226.009,109.362,201.860,249.105,273.305,293.581,305.154,305.154,305.154,0.004
355,2.200,255.073,181.234,216.223,235.391,295.899,311.955,346.759,346.759,346.759,0.004
360,3.000,263.820,132.538,239.758,265.173,299.106,316.262,319.096,319.096,319.096,0.004
365,2.800,253.043,164.643,215.022,249.868,288.435,336.524,368.979,368.979,368.979,0.004
370,2.000,257.393,183.722,195.397,271.796,293.860,357.206,357.206,357.206,357.206,0.004
375,1.800,254.286,151.448,232.486,241.614,286.527,354.446,354.446,354.446,354.446,0.004
380,2.000,237.590,183.721,208.941,228.531,253.984,309.846,309.846,309.846,309.846,0.004
385,1.400,257.793,203.623,207.458,251.902,310.571,327.974,327.974,327.974,327.974,0.004
390,1.400,247.900,164.829,189.001,256.764,297.412,322.552,322.552,322.552,322.552,0.004
395,1.000,226.814,158.925,203.717,206.552,281.464,283.410,283.410,283.410,283.410,0.004
400,3.200,240.425,157.277,194.848,244.033,286.656,289.092,340.587,340.587,340.587,0.004
405,2.600,250.573,170.568,206.849,270.400,288.001,291.677,304.742,304.742,304.742,0.004
410,1.800,279.627,228.226,246.348,275.416,304.918,350.434,350.434,350.434,350.434,0.004
415,3.200,239.463,153.177,193.912,256.476,291.637,317.065,364.213,364.213,364.213,0.004
420,2.400,253.643,154.400,202.339,260.981,326.286,331.556,364.612,364.612,364.612,0.004
425,2.000,269.998,193.923,218.791,284.569,310.408,352.851,352.851,352.851,352.851,0.004
430,1.600,252.718,145.399,210.398,274.503,340.597,366.252,366.252,366.252,366.252,0.004
435,1.400,226.149,183.320,184.496,196.649,287.651,291.945,291.945,291.945,291.945,0.004
440,2.600,227.420,147.859,191.338,210.026,279.093,291.647,304.767,304.767,304.767,0.004
445,2.600,242.563,148.427,192.439,247.782,281.362,305.491,306.581,306.581,306.581,0.004
450,1.600,275.178,192.434,263.202,271.273,325.302,329.739,329.739,329.739,329.739,0.004
455,2.200,272.262,168.159,239.471,289.788,311.192,328.016,348.728,348.728,348.728,0.004
460,2.200,225.949,158.800,183.496,229.999,277.582,279.595,281.721,281.721,281.721,0.004
465,2.200,239.005,163.625,197.263,215.347,283.701,304.649,310.378,310.378,310.378,0.004
470,2.400,258.936,171.191,202.567,261.110,311.976,316.963,438.442,438.442,438.442,0.004
475,0.800,302.152,212.701,214.649,330.821,450.437,450.437,450.437,450.437,450.437,0.003
480,2.200,228.569,170.282,186.210,212.627,280.251,289.921,315.656,315.656,315.656,0.004
485,1.800,267.855,215.323,228.288,232.115,316.200,334.927,334.927,334.927,334.927,0.004
490,3.600,210.536,157.307,179.777,197.520,230.351,282.649,320.199,320.199,320.199,0.005
495,1.400,270.768,192.952,197.146,290.942,304.492,343.491,343.491,343.491,343.491,0.004
