Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1714144406.504831,444295,0,1
2,Payment,1714144406.949271,486884,0,1
1,NewOrder,1714144407.436199,166291,0,1
2,Payment,1714144407.602519,204708,0,1
2,Payment,1714144407.807261,159735,0,1
1,NewOrder,1714144407.967024,145598,0,1
1,NewOrder,1714144408.112653,206678,0,1
2,Payment,1714144408.319366,175321,0,1
1,NewOrder,1714144408.494714,143714,0,1
1,NewOrder,1714144408.638462,975179,0,1
2,Payment,1714144409.613680,159380,0,1
2,Payment,1714144409.773089,149010,0,1
1,NewOrder,1714144409.922128,163107,0,1
1,NewOrder,1714144410.085262,144128,0,1
2,Payment,1714144410.229419,166084,0,1
2,Payment,1714144410.395535,175904,0,1
1,NewOrder,1714144410.571470,149714,0,1
3,OrderStatus,1714144410.721212,273718,0,1
1,NewOrder,1714144410.994961,831296,0,1
1,NewOrder,1714144411.826286,853774,0,1
1,NewOrder,1714144412.680088,156614,0,1
2,Payment,1714144412.836726,178999,0,1
2,Payment,1714144413.015755,147066,0,1
1,NewOrder,1714144413.162850,142399,0,1
2,Payment,1714144413.305275,159285,0,1
2,Payment,1714144413.464593,144668,0,1
3,OrderStatus,1714144413.609290,98386,0,1
2,Payment,1714144413.707705,145681,0,1
1,NewOrder,1714144413.853415,152162,0,1
1,NewOrder,1714144414.005605,142640,0,1
2,Payment,1714144414.148272,208334,0,1
2,Payment,1714144414.356637,148502,0,1
2,Payment,1714144414.505184,187673,0,1
1,NewOrder,1714144414.692891,666399,0,1
2,Payment,1714144415.359325,148889,0,1
1,NewOrder,1714144415.508242,143571,0,1
2,Payment,1714144415.651840,148296,0,1
2,Payment,1714144415.800237,162417,0,1
2,Payment,1714144415.962689,147792,0,1
2,Payment,1714144416.110509,162561,0,1
2,Payment,1714144416.273096,155321,0,1
1,NewOrder,1714144416.428444,148530,0,1
2,Payment,1714144416.576999,170336,0,1
4,Delivery,1714144416.747387,647810,0,1
1,NewOrder,1714144417.395224,166260,0,1
1,NewOrder,1714144417.561508,492244,0,1
2,Payment,1714144418.053780,186554,0,1
2,Payment,1714144418.240366,149218,0,1
2,Payment,1714144418.389612,150344,0,1
1,NewOrder,1714144418.539985,576468,0,1
2,Payment,1714144419.116485,154493,0,1
1,NewOrder,1714144419.271005,148603,0,1
1,NewOrder,1714144419.419635,166564,0,1
5,StockLevel,1714144419.586226,823552,0,1
1,NewOrder,1714144420.409806,901995,0,1
1,NewOrder,1714144421.311828,167517,0,1
2,Payment,1714144421.479374,186062,0,1
1,NewOrder,1714144421.665471,905463,0,1
1,NewOrder,1714144422.570969,985329,0,1
5,StockLevel,1714144423.556329,69464,0,1
1,NewOrder,1714144423.625820,157473,0,1
2,Payment,1714144423.783320,147753,0,1
1,NewOrder,1714144423.931102,195789,0,1
2,Payment,1714144424.126918,147643,0,1
2,Payment,1714144424.274616,149348,0,1
2,Payment,1714144424.424018,146974,0,1
1,NewOrder,1714144424.571042,500289,0,1
2,Payment,1714144425.071383,147101,0,1
1,NewOrder,1714144425.218520,950315,0,1
1,NewOrder,1714144426.168887,1002681,0,1
1,NewOrder,1714144427.171608,760689,0,1
1,NewOrder,1714144427.932347,160643,0,1
2,Payment,1714144428.093017,148236,0,1
1,NewOrder,1714144428.241310,485236,0,1
2,Payment,1714144428.726583,184353,0,1
1,NewOrder,1714144428.910966,141732,0,1
2,Payment,1714144429.052725,145189,0,1
1,NewOrder,1714144429.197944,705550,0,1
2,Payment,1714144429.903530,157618,0,1
1,NewOrder,1714144430.061179,784646,0,1
4,Delivery,1714144430.845876,535359,0,1
2,Payment,1714144431.381266,155389,0,1
2,Payment,1714144431.536687,155952,0,1
1,NewOrder,1714144431.692670,992423,0,1
2,Payment,1714144432.685144,143779,0,1
1,NewOrder,1714144432.828954,756150,0,1
2,Payment,1714144433.585141,158496,0,1
1,NewOrder,1714144433.743668,903200,0,1
