Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
84,3,3.000,155832,155832,158923,253764,446538,446538,446538,446538,446538
85,2,2.000,150724,150724,883624,517174,883624,883624,883624,883624,883624
86,3,3.000,147351,147351,150563,333545,702722,702722,702722,702722,702722
87,2,2.000,154986,154986,870975,512980,870975,870975,870975,870975,870975
88,3,3.000,157505,157505,170726,407477,894201,894201,894201,894201,894201
89,5,5.000,146685,157313,158706,156290,159013,159735,159735,159735,159735
90,2,2.000,440435,440435,1008276,724355,1008276,1008276,1008276,1008276,1008276
91,3,3.000,146785,146785,155508,156096,165996,165996,165996,165996,165996
92,3,3.000,71212,71212,656683,532696,870193,870193,870193,870193,870193
93,1,1.000,974842,974842,974842,974842,974842,974842,974842,974842,974842
94,3,3.000,146766,146766,160377,291326,566835,566835,566835,566835,566835
95,1,1.000,1373771,1373771,1373771,1373771,1373771,1373771,1373771,1373771,1373771
96,1,1.000,672494,672494,672494,672494,672494,672494,672494,672494,672494
97,2,2.000,146235,146235,1043050,594642,1043050,1043050,1043050,1043050,1043050
98,2,2.000,147849,147849,1053551,600700,1053551,1053551,1053551,1053551,1053551
99,1,1.000,625978,625978,625978,625978,625978,625978,625978,625978,625978
100,1,1.000,498118,498118,498118,498118,498118,498118,498118,498118,498118
101,3,3.000,145678,145678,146850,389715,876618,876618,876618,876618,876618
102,6,6.000,69117,157107,159581,155429,183488,206065,206065,206065,206065
103,2,2.000,145857,145857,1315762,730809,1315762,1315762,1315762,1315762,1315762
104,2,2.000,184476,184476,905360,544918,905360,905360,905360,905360,905360
105,2,2.000,173686,173686,658302,415994,658302,658302,658302,658302,658302
106,2,2.000,158886,158886,498627,328756,498627,498627,498627,498627,498627
107,1,1.000,1322305,1322305,1322305,1322305,1322305,1322305,1322305,1322305,1322305
108,4,4.000,69894,159185,163255,427881,1319191,1319191,1319191,1319191,1319191
109,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
110,2,2.000,527548,527548,840802,684175,840802,840802,840802,840802,840802
111,2,2.000,145181,145181,989087,567134,989087,989087,989087,989087,989087
112,1,1.000,934424,934424,934424,934424,934424,934424,934424,934424,934424
113,3,3.000,145343,145343,145474,149455,157550,157550,157550,157550,157550
114,2,2.000,645431,645431,872780,759105,872780,872780,872780,872780,872780
115,2,2.000,144863,144863,1316955,730909,1316955,1316955,1316955,1316955,1316955
116,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
117,1,1.000,1324577,1324577,1324577,1324577,1324577,1324577,1324577,1324577,1324577
118,1,1.000,920524,920524,920524,920524,920524,920524,920524,920524,920524
119,5,5.000,83508,148116,160229,277799,176359,820787,820787,820787,820787
120,1,1.000,873666,873666,873666,873666,873666,873666,873666,873666,873666
121,1,1.000,824478,824478,824478,824478,824478,824478,824478,824478,824478
122,2,2.000,145562,145562,504380,324971,504380,504380,504380,504380,504380
123,2,2.000,445306,445306,487254,466280,487254,487254,487254,487254,487254
124,4,4.000,72918,153621,158603,262574,665155,665155,665155,665155,665155
125,1,1.000,1120660,1120660,1120660,1120660,1120660,1120660,1120660,1120660,1120660
126,2,2.000,156566,156566,853161,504863,853161,853161,853161,853161,853161
127,6,6.000,146041,148873,157440,203168,173142,436281,436281,436281,436281
128,2,2.000,188756,188756,451706,320231,451706,451706,451706,451706,451706
129,2,2.000,161129,161129,801276,481202,801276,801276,801276,801276,801276
130,2,2.000,505991,505991,835300,670645,835300,835300,835300,835300,835300
131,2,2.000,144947,144947,940258,542602,940258,940258,940258,940258,940258
