Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1713964846.764663,199638,0,1
1,NewOrder,1713964846.964369,920193,0,1
2,Payment,1713964847.884593,186517,0,1
2,Payment,1713964848.071143,170823,0,1
2,Payment,1713964848.241998,171531,0,1
2,Payment,1713964848.413561,187484,0,1
2,Payment,1713964848.601077,188905,0,1
1,NewOrder,1713964848.790014,845976,0,1
2,Payment,1713964849.636022,200669,0,1
5,StockLevel,1713964849.836728,92738,0,1
2,Payment,1713964849.929529,219979,0,1
3,OrderStatus,1713964850.149540,77913,0,1
1,NewOrder,1713964850.227485,604967,0,1
1,NewOrder,1713964850.832485,603631,0,1
1,NewOrder,1713964851.436147,1074446,0,1
1,NewOrder,1713964852.510625,1083918,0,1
1,NewOrder,1713964853.594580,954434,0,1
1,NewOrder,1713964854.549046,181633,0,1
1,NewOrder,1713964854.730706,892926,0,1
2,Payment,1713964855.623664,167613,0,1
2,Payment,1713964855.791308,201979,0,1
1,NewOrder,1713964855.993319,178090,0,1
1,NewOrder,1713964856.171436,856043,0,1
1,NewOrder,1713964857.027507,631147,0,1
1,NewOrder,1713964857.658682,850220,0,1
2,Payment,1713964858.508934,165271,0,1
1,NewOrder,1713964858.674236,689029,0,1
2,Payment,1713964859.363298,177756,0,1
4,Delivery,1713964859.541085,1393912,0,1
1,NewOrder,1713964860.935030,673031,0,1
1,NewOrder,1713964861.608092,165040,0,1
1,NewOrder,1713964861.773160,744657,0,1
2,Payment,1713964862.517849,166782,0,1
1,NewOrder,1713964862.684664,568320,0,1
2,Payment,1713964863.253016,193297,0,1
2,Payment,1713964863.446345,176236,0,1
4,Delivery,1713964863.622612,757596,0,1
2,Payment,1713964864.380236,164721,0,1
1,NewOrder,1713964864.544988,1010544,0,1
1,NewOrder,1713964865.555564,563201,0,1
1,NewOrder,1713964866.118797,673719,0,1
2,Payment,1713964866.792548,165495,0,1
