Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,4,4.000,166209,270242,391298,484495,1110234,1110234,1110234,1110234,1110234
1,1,1.000,146627,146627,146627,146627,146627,146627,146627,146627,146627
2,3,3.000,162725,162725,164114,313259,612939,612939,612939,612939,612939
3,5,5.000,145636,151092,176268,279130,358303,564351,564351,564351,564351
4,4,4.000,149830,151998,180126,165915,181706,181706,181706,181706,181706
5,4,4.000,153988,160552,265599,467465,1289724,1289724,1289724,1289724,1289724
6,1,1.000,165028,165028,165028,165028,165028,165028,165028,165028,165028
7,4,4.000,159136,173800,173829,241997,461223,461223,461223,461223,461223
8,4,4.000,146899,160964,163352,366543,994959,994959,994959,994959,994959
9,3,3.000,144816,144816,163422,160296,172652,172652,172652,172652,172652
10,7,7.000,80864,144834,162339,241544,202716,759832,759832,759832,759832
11,2,2.000,159675,159675,160497,160086,160497,160497,160497,160497,160497
12,1,1.000,977846,977846,977846,977846,977846,977846,977846,977846,977846
13,2,2.000,707243,707243,862179,784711,862179,862179,862179,862179,862179
14,1,1.000,674517,674517,674517,674517,674517,674517,674517,674517,674517
15,3,3.000,163505,163505,191745,325584,621504,621504,621504,621504,621504
16,1,1.000,1010717,1010717,1010717,1010717,1010717,1010717,1010717,1010717,1010717
17,5,5.000,162310,162845,163462,165208,164108,173316,173316,173316,173316
18,2,2.000,199397,199397,1125649,662523,1125649,1125649,1125649,1125649,1125649
19,4,4.000,160425,160445,161346,163799,172983,172983,172983,172983,172983
20,2,2.000,156540,156540,816292,486416,816292,816292,816292,816292,816292
21,2,2.000,661988,661988,890816,776402,890816,890816,890816,890816,890816
22,2,2.000,178827,178827,844990,511908,844990,844990,844990,844990,844990
23,3,3.000,143666,143666,159028,154092,159582,159582,159582,159582,159582
24,3,3.000,158188,158188,158607,550030,1333296,1333296,1333296,1333296,1333296
25,2,2.000,145200,145200,173512,159356,173512,173512,173512,173512,173512
26,1,1.000,982418,982418,982418,982418,982418,982418,982418,982418,982418
27,3,3.000,159301,159301,388522,422534,719779,719779,719779,719779,719779
28,5,5.000,148449,150432,161434,165645,174565,193349,193349,193349,193349
29,2,2.000,663584,663584,1042326,852955,1042326,1042326,1042326,1042326,1042326
30,2,2.000,166306,166306,750325,458315,750325,750325,750325,750325,750325
31,2,2.000,183179,183179,721242,452210,721242,721242,721242,721242,721242
32,3,3.000,165535,165535,166709,166980,168698,168698,168698,168698,168698
33,4,4.000,150349,169737,179597,241575,466619,466619,466619,466619,466619
34,3,3.000,169456,169456,638095,734639,1396368,1396368,1396368,1396368,1396368
35,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,4,4.000,98759,166258,178001,267000,624983,624983,624983,624983,624983
37,3,3.000,178926,178926,193845,477629,1060117,1060117,1060117,1060117,1060117
38,2,2.000,81989,81989,194375,138182,194375,194375,194375,194375,194375
39,2,2.000,166504,166504,735379,450941,735379,735379,735379,735379,735379
40,3,3.000,120414,120414,862880,674346,1039744,1039744,1039744,1039744,1039744
41,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
42,2,2.000,177641,177641,958566,568103,958566,958566,958566,958566,958566
43,6,6.000,77275,163591,177160,156943,177671,178478,178478,178478,178478
44,4,4.000,113736,164073,190804,356467,957255,957255,957255,957255,957255
45,2,2.000,179500,179500,686943,433221,686943,686943,686943,686943,686943
46,5,5.000,89944,166884,167720,155750,176870,177336,177336,177336,177336
47,3,3.000,106132,106132,166670,430554,1018860,1018860,1018860,1018860,1018860
48,1,1.000,960961,960961,960961,960961,960961,960961,960961,960961,960961
49,4,4.000,164737,166001,168252,178468,214882,214882,214882,214882,214882
50,3,3.000,176338,176338,199638,432056,920193,920193,920193,920193,920193
51,4,4.000,170823,171531,186517,179088,187484,187484,187484,187484,187484
52,2,2.000,188905,188905,845976,517440,845976,845976,845976,845976,845976
53,5,5.000,77913,92738,200669,239253,219979,604967,604967,604967,604967
54,2,2.000,603631,603631,1074446,839038,1074446,1074446,1074446,1074446,1074446
55,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
56,1,1.000,1083918,1083918,1083918,1083918,1083918,1083918,1083918,1083918,1083918
57,1,1.000,954434,954434,954434,954434,954434,954434,954434,954434,954434
58,2,2.000,181633,181633,892926,537279,892926,892926,892926,892926,892926
59,4,4.000,167613,178090,201979,350931,856043,856043,856043,856043,856043
