Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
330,1.200,171.966,162.169,166.183,175.584,177.922,178.700,178.700,178.700,178.700,0.006
335,1.800,168.775,163.467,164.258,165.067,169.367,182.759,182.759,182.759,182.759,0.006
340,1.800,185.252,163.794,171.460,174.527,201.607,234.034,234.034,234.034,234.034,0.005
345,0.400,179.289,173.075,173.075,185.503,185.503,185.503,185.503,185.503,185.503,0.006
350,0.400,183.000,179.704,179.704,186.296,186.296,186.296,186.296,186.296,186.296,0.005
355,0.200,223.208,223.208,223.208,223.208,223.208,223.208,223.208,223.208,223.208,0.004
360,1.400,189.225,168.192,172.809,177.210,204.067,233.083,233.083,233.083,233.083,0.005
365,1.200,177.089,168.491,169.266,182.794,184.805,187.421,187.421,187.421,187.421,0.006
370,1.000,172.468,167.665,169.073,169.898,170.097,185.606,185.606,185.606,185.606,0.006
375,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
380,1.200,179.970,169.348,170.493,181.009,182.790,196.109,196.109,196.109,196.109,0.006
385,0.600,177.982,164.034,164.034,181.596,188.315,188.315,188.315,188.315,188.315,0.006
390,1.200,172.859,162.100,162.925,164.325,181.499,203.168,203.168,203.168,203.168,0.006
395,1.200,176.758,166.294,174.727,176.928,178.310,187.676,187.676,187.676,187.676,0.006
400,0.800,184.213,165.023,175.778,180.815,215.236,215.236,215.236,215.236,215.236,0.005
405,0.400,167.392,167.291,167.291,167.492,167.492,167.492,167.492,167.492,167.492,0.006
410,0.600,184.065,169.373,169.373,178.721,204.101,204.101,204.101,204.101,204.101,0.005
415,1.400,173.505,163.329,167.014,175.184,181.520,182.229,182.229,182.229,182.229,0.006
420,1.400,188.334,169.205,169.593,183.412,189.574,249.434,249.434,249.434,249.434,0.005
425,0.400,169.187,168.520,168.520,169.854,169.854,169.854,169.854,169.854,169.854,0.006
430,0.200,168.128,168.128,168.128,168.128,168.128,168.128,168.128,168.128,168.128,0.006
435,0.800,172.429,162.701,165.728,178.130,183.155,183.155,183.155,183.155,183.155,0.006
440,1.200,346.077,163.101,166.275,174.765,183.086,1214.535,1214.535,1214.535,1214.535,0.003
445,2.000,178.617,165.474,167.787,178.632,182.444,195.993,195.993,195.993,195.993,0.006
450,0.800,169.256,163.830,165.924,168.918,178.351,178.351,178.351,178.351,178.351,0.006
455,0.200,165.295,165.295,165.295,165.295,165.295,165.295,165.295,165.295,165.295,0.006
460,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
465,0.800,179.834,165.241,178.805,182.248,193.043,193.043,193.043,193.043,193.043,0.006
470,0.400,171.063,165.764,165.764,176.362,176.362,176.362,176.362,176.362,176.362,0.006
475,0.200,165.001,165.001,165.001,165.001,165.001,165.001,165.001,165.001,165.001,0.006
480,0.800,177.951,169.594,170.880,185.029,186.299,186.299,186.299,186.299,186.299,0.006
485,0.600,501.084,166.552,166.552,177.730,1158.970,1158.970,1158.970,1158.970,1158.970,0.002
490,1.600,176.164,166.785,169.989,178.004,180.932,197.376,197.376,197.376,197.376,0.006
495,1.000,406.587,163.893,165.481,167.075,193.348,1343.140,1343.140,1343.140,1343.140,0.002
500,0.200,186.799,186.799,186.799,186.799,186.799,186.799,186.799,186.799,186.799,0.005
505,0.600,471.764,302.870,302.870,555.327,557.096,557.096,557.096,557.096,557.096,0.002
510,1.200,196.975,163.592,164.850,175.546,178.909,323.856,323.856,323.856,323.856,0.005
515,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
520,1.000,175.151,162.121,163.412,165.998,177.846,206.377,206.377,206.377,206.377,0.006
525,1.800,172.632,163.381,165.222,174.443,175.233,192.552,192.552,192.552,192.552,0.006
530,0.600,172.529,162.500,162.500,176.762,178.326,178.326,178.326,178.326,178.326,0.006
535,0.800,183.713,166.994,172.579,186.296,208.984,208.984,208.984,208.984,208.984,0.005
540,2.200,183.571,172.970,176.926,185.297,188.780,190.312,190.756,190.756,190.756,0.005
545,0.600,177.792,176.608,176.608,177.049,179.718,179.718,179.718,179.718,179.718,0.006
550,1.200,165.811,163.165,163.218,164.138,165.282,174.962,174.962,174.962,174.962,0.006
555,0.800,170.090,163.738,165.469,175.383,175.771,175.771,175.771,175.771,175.771,0.006
560,0.800,174.348,164.764,168.383,178.169,186.076,186.076,186.076,186.076,186.076,0.006
565,0.800,166.085,163.243,164.043,167.927,169.126,169.126,169.126,169.126,169.126,0.006
570,1.400,337.290,161.963,165.297,177.843,193.409,1313.906,1313.906,1313.906,1313.906,0.003
575,1.200,176.805,163.895,172.365,178.384,178.998,190.574,190.574,190.574,190.574,0.006
580,0.800,176.110,164.769,165.948,175.860,197.864,197.864,197.864,197.864,197.864,0.006
585,1.000,177.192,165.203,165.370,165.980,180.851,208.554,208.554,208.554,208.554,0.006
590,0.600,187.304,163.702,163.702,184.465,213.744,213.744,213.744,213.744,213.744,0.005
595,1.600,176.170,163.382,169.673,171.722,187.228,194.889,194.889,194.889,194.889,0.006
600,0.200,172.737,172.737,172.737,172.737,172.737,172.737,172.737,172.737,172.737,0.006
605,1.800,179.278,166.021,168.247,177.951,182.865,198.311,198.311,198.311,198.311,0.006
610,1.000,175.218,164.335,164.576,172.193,173.433,201.551,201.551,201.551,201.551,0.006
615,0.400,171.756,167.898,167.898,175.613,175.613,175.613,175.613,175.613,175.613,0.006
620,1.000,171.024,164.187,164.335,166.296,178.763,181.538,181.538,181.538,181.538,0.006
625,0.400,182.819,176.860,176.860,188.778,188.778,188.778,188.778,188.778,188.778,0.005
630,1.200,168.895,163.606,164.201,165.873,175.081,179.946,179.946,179.946,179.946,0.006
635,0.800,182.624,163.681,176.230,194.658,195.928,195.928,195.928,195.928,195.928,0.005
640,1.000,168.597,164.339,164.554,165.021,166.040,183.030,183.030,183.030,183.030,0.006
645,0.800,167.877,164.038,164.122,168.690,174.656,174.656,174.656,174.656,174.656,0.006
650,1.600,177.960,163.353,165.981,166.582,174.540,255.287,255.287,255.287,255.287,0.006
655,1.800,171.490,165.539,166.303,169.409,176.889,182.748,182.748,182.748,182.748,0.006
660,0.800,174.047,168.739,170.211,175.107,182.131,182.131,182.131,182.131,182.131,0.006
665,0.600,173.573,164.691,164.691,177.646,178.382,178.382,178.382,178.382,178.382,0.006
670,0.600,172.183,167.386,167.386,168.184,180.978,180.978,180.978,180.978,180.978,0.006
675,0.600,180.058,165.820,165.820,181.381,192.973,192.973,192.973,192.973,192.973,0.006
680,0.200,189.598,189.598,189.598,189.598,189.598,189.598,189.598,189.598,189.598,0.005
685,0.400,170.739,167.024,167.024,174.453,174.453,174.453,174.453,174.453,174.453,0.006
690,0.400,177.018,163.429,163.429,190.606,190.606,190.606,190.606,190.606,190.606,0.006
695,0.400,163.378,163.198,163.198,163.557,163.557,163.557,163.557,163.557,163.557,0.006
700,1.000,177.334,166.334,176.734,178.326,179.972,185.303,185.303,185.303,185.303,0.006
705,1.000,168.843,164.924,165.826,165.979,168.577,178.911,178.911,178.911,178.911,0.006
710,0.800,178.808,164.929,166.291,177.784,206.226,206.226,206.226,206.226,206.226,0.006
715,1.000,180.899,162.544,165.118,186.407,192.745,197.681,197.681,197.681,197.681,0.006
